tanggal,lintang,bujur,kedalaman,magnitudo,class
2024-01-25 05:07:05,-2.24,140.49191,10.0,3.7,Lemah
2024-01-25 05:51:38,-10.2,124.02821,10.0,3.52,Lemah
2024-01-25 06:50:21,-9.68,119.8142,33.4,3.15,Lemah
2024-01-25 07:04:16,2.49,126.89266,10.0,3.61,Lemah
2024-01-25 08:03:17,-10.18,123.99569,10.0,3.65,Lemah
2024-01-25 11:07:42,-0.59,122.29034,10.0,4.01,Sedang
2024-01-25 11:17:15,-0.6,122.27905,10.0,2.79,Lemah
2024-01-25 11:32:23,-0.62,122.25623,10.0,4.77,Sedang
2024-01-25 11:56:05,-0.74,122.20226,10.0,3.37,Lemah
2024-01-25 12:03:44,-8.21,121.1311,10.0,3.91,Lemah
2024-01-25 12:12:40,-0.69,122.16349,10.0,2.81,Lemah
2024-01-25 12:24:14,-8.26,121.16683,10.0,5.34,Sedang
2024-01-25 12:37:02,-9.13,121.22118,56.5,3.29,Lemah
2024-01-25 12:38:13,-8.26,121.19356,10.0,3.88,Lemah
2024-01-25 12:44:37,-8.76,121.23766,10.0,3.4,Lemah
2024-01-25 12:47:33,-8.1,121.20679,13.0,3.64,Lemah
2024-01-25 12:53:03,-10.49,123.8129,15.4,3.19,Lemah
2024-01-25 13:00:58,-8.24,121.15997,10.0,3.12,Lemah
2024-01-25 13:06:38,-8.37,121.19598,26.7,2.83,Lemah
2024-01-25 13:11:29,-8.61,121.20361,10.0,2.66,Lemah
2024-01-25 13:15:19,-8.25,121.16148,10.0,3.03,Lemah
2024-01-25 13:17:27,-8.25,121.17023,10.0,2.86,Lemah
2024-01-25 13:26:28,-8.25,121.20203,10.0,3.08,Lemah
2024-01-25 13:53:33,-8.22,121.18767,10.0,3.33,Lemah
2024-01-25 13:57:31,-8.22,121.19405,10.0,3.27,Lemah
2024-01-25 14:07:40,-8.2,121.19752,10.0,2.86,Lemah
2024-01-25 14:21:48,-8.29,121.19417,10.2,3.35,Lemah
2024-01-25 14:24:01,-8.38,121.16671,14.2,2.74,Lemah
2024-01-25 14:34:09,-8.29,121.17638,10.0,3.68,Lemah
2024-01-25 14:41:28,-9.06,115.70957,102.1,4.87,Sedang
2024-01-25 14:50:06,-8.27,121.1843,10.0,2.97,Lemah
2024-01-25 14:52:05,-8.85,115.67291,91.8,3.07,Lemah
2024-01-25 15:02:53,-6.86,105.24113,25.7,3.7,Lemah
